ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
18,$170-180k,2016,2016,TRUE,TRUE,455511,16544.0871,4674,United States,01000US,united-states,0.003132977
3,$20-30k,2016,2016,TRUE,TRUE,21371186,104825.3223,188687,United States,01000US,united-states,0.146989708
12,$110-120k,2016,2016,TRUE,TRUE,131344,8832.575851,1324,New York,04000US36,,0.014594469
19,$180-190k,2016,2016,TRUE,TRUE,415815,15808.94595,4371,United States,01000US,united-states,0.00285995
10,$90-100k,2016,2016,TRUE,TRUE,3440709,44998.51302,34935,United States,01000US,united-states,0.023664986
2,$10-20k,2016,2016,TRUE,TRUE,20389119,102793.0711,179785,United States,01000US,united-states,0.140235111
20,$190-200k,2016,2016,TRUE,TRUE,215272,11382.73903,2232,United States,01000US,united-states,0.001480628
16,$150-160k,2016,2016,TRUE,TRUE,95771,7557.3331,942,New York,04000US36,,0.010641726
11,$100-110k,2016,2016,TRUE,TRUE,289716,13000.36542,2828,New York,04000US36,,0.03219219
21,$200k+,2016,2016,TRUE,TRUE,3246899,43742.62633,35081,United States,01000US,united-states,0.022331972
11,$100-110k,2016,2016,TRUE,TRUE,3603926,46026.96117,36228,United States,01000US,united-states,0.024787582
1,< $10K,2016,2016,TRUE,TRUE,18071160,97666.88817,174284,United States,01000US,united-states,0.124292331
6,$50-60k,2016,2016,TRUE,TRUE,11847222,80989.04435,116099,United States,01000US,united-states,0.081484467
1,< $10K,2016,2016,TRUE,TRUE,996845,23115.14676,10246,New York,04000US36,,0.110765798
21,$200k+,2016,2016,TRUE,TRUE,307177,13372.97111,3030,New York,04000US36,,0.034132393
10,$90-100k,2016,2016,TRUE,TRUE,250740,12121.34134,2557,New York,04000US36,,0.027861319
2,$10-20k,2016,2016,TRUE,TRUE,1191814,24964.98166,10726,New York,04000US36,,0.132430046
12,$110-120k,2016,2016,TRUE,TRUE,1753923,32318.00645,17684,United States,01000US,united-states,0.012063375
18,$170-180k,2016,2016,TRUE,TRUE,39480,4867.530006,370,New York,04000US36,,0.004386874
3,$20-30k,2016,2016,TRUE,TRUE,1172379,24791.38984,10639,New York,04000US36,,0.130270499
15,$140-150k,2016,2016,TRUE,TRUE,65491,6260.075698,642,New York,04000US36,,0.007277122
9,$80-90k,2016,2016,TRUE,TRUE,380726,14824.99861,3785,New York,04000US36,,0.042304891
4,$30-40k,2016,2016,TRUE,TRUE,1045779,23603.20278,9920,New York,04000US36,,0.116203167
13,$120-130k,2016,2016,TRUE,TRUE,2049018,34895.19391,20853,United States,01000US,united-states,0.01409302
7,$60-70k,2016,2016,TRUE,TRUE,9088557,71664.7225,89509,United States,01000US,united-states,0.062510538
5,$40-50k,2016,2016,TRUE,TRUE,861301,21667.42916,8354,New York,04000US36,,0.095704641
4,$30-40k,2016,2016,TRUE,TRUE,19001439,99782.67882,174794,United States,01000US,united-states,0.130690733
8,$70-80k,2016,2016,TRUE,TRUE,470976,16402.19584,4737,New York,04000US36,,0.052333144
6,$50-60k,2016,2016,TRUE,TRUE,770060,20602.17914,7629,New York,04000US36,,0.085566272
14,$130-140k,2016,2016,TRUE,TRUE,1073008,25337.73158,11149,United States,01000US,united-states,0.007380083
20,$190-200k,2016,2016,TRUE,TRUE,15794,3082.757786,159,New York,04000US36,,0.001754972
7,$60-70k,2016,2016,TRUE,TRUE,613117,18557.72453,6043,New York,04000US36,,0.068127336
14,$130-140k,2015,2015,TRUE,TRUE,1025432,24772.50318,10524,United States,01000US,united-states,0.007150544
7,$60-70k,2015,2015,TRUE,TRUE,603716,18424.63854,6006,New York,04000US36,,0.06714155
6,$50-60k,2015,2015,TRUE,TRUE,760297,20482.47356,7486,New York,04000US36,,0.084555517
